z_score,probability,probability_2
-6.39,1,0
-6.38,1,0
-6.37,1,0
-6.36,1,0
-6.35,1,0
-6.34,1,0
-6.33,1,0
-6.32,1,0
-6.31,1,0
-6.3,1,0
-6.29,1,0
-6.28,1,0
-6.27,1,0
-6.26,1,0
-6.25,1,0
-6.24,1,0
-6.23,1,0
-6.22,1,0
-6.21,1,0
-6.2,1,0
-6.19,1,0
-6.18,1,0
-6.17,1,0
-6.16,1,0
-6.15,1,0
-6.14,1,0
-6.13,1,0
-6.12,1,0
-6.11,1,0
-6.1,1,0
-6.09,1,0
-6.08,1,0
-6.07,1,0
-6.06,1,0
-6.05,1,0
-6.04,1,0
-6.03,1,0
-6.02,1,0
-6.01,1,0
-6,1,0
-5.99,1,0
-5.98,1,0
-5.97,1,0
-5.96,1,0
-5.95,1,0
-5.94,1,0
-5.93,1,0
-5.92,1,0
-5.91,1,0
-5.9,1,0
-5.89,1,0
-5.88,1,0
-5.87,1,0
-5.86,1,0
-5.85,1,0
-5.84,1,0
-5.83,1,0
-5.82,1,0
-5.81,1,0
-5.8,1,0
-5.79,1,0
-5.78,1,0
-5.77,1,0
-5.76,1,0
-5.75,1,0
-5.74,1,0
-5.73,1,0
-5.72,1,0
-5.71,1,0
-5.7,1,0
-5.69,1,0
-5.68,1,0
-5.67,1,0
-5.66,1,0
-5.65,1,0
-5.64,1,0
-5.63,1,0
-5.62,1,0
-5.61,1,0
-5.6,1,0
-5.59,1,0
-5.58,1,0
-5.57,1,0
-5.56,1,0
-5.55,1,0
-5.54,1,0
-5.53,1,0
-5.52,1,0
-5.51,1,0
-5.5,1,0
-5.49,1,0
-5.48,1,0
-5.47,1,0
-5.46,1,0
-5.45,1,0
-5.44,1,0
-5.43,1,0
-5.42,1,0
-5.41,1,0
-5.4,1,2.86836E-08
-5.39,0.999998962,0.000103773
-5.38,0.999996993,0.000196884
-5.37,0.999995083,0.000191014
-5.36,0.999993072,0.000201078
-5.35,0.999990952,0.000212029
-5.34,0.999988717,0.000223521
-5.33,0.999986362,0.000235506
-5.32,0.999983882,0.000247981
-5.31,0.999981272,0.000260954
-5.3,0.999978528,0.000274438
-5.29,0.999975643,0.000288448
-5.28,0.999972613,0.000303
-5.27,0.999969432,0.000318112
-5.26,0.999966094,0.000333801
-5.25,0.999962593,0.000350086
-5.24,0.999958924,0.000366984
-5.23,0.999955078,0.000384516
-5.22,0.999951051,0.0004027
-5.21,0.999946836,0.000421559
-5.2,0.999942425,0.000441112
-5.19,0.999937811,0.000461381
-5.18,0.999932987,0.000482388
-5.17,0.999927946,0.000504156
-5.16,0.999922678,0.000526707
-5.15,0.999917178,0.000550066
-5.14,0.999911435,0.000574256
-5.13,0.999905442,0.000599303
-5.12,0.99989919,0.000625233
-5.11,0.999892669,0.000652071
-5.1,0.999885871,0.000679843
-5.09,0.999878785,0.000708579
-5.08,0.999871402,0.000738304
-5.07,0.999863711,0.000769049
-5.06,0.999855703,0.000800843
-5.05,0.999847366,0.000833715
-5.04,0.999838689,0.000867697
-5.03,0.999829661,0.000902819
-5.02,0.99982027,0.000939115
-5.01,0.999810503,0.000976616
-5,0.99980035,0.001015356
-4.99,0.999789796,0.00105537
-4.98,0.999778829,0.001096692
-4.97,0.999767436,0.00113936
-4.96,0.999755602,0.001183408
-4.95,0.999743313,0.001228874
-4.94,0.999730555,0.001275797
-4.93,0.999717313,0.001324215
-4.92,0.999703571,0.001374168
-4.91,0.999689314,0.001425697
-4.9,0.999674526,0.001478843
-4.89,0.999659189,0.001533648
-4.88,0.999643288,0.001590155
-4.87,0.999626804,0.001648408
-4.86,0.999609719,0.001708451
-4.85,0.999592016,0.00177033
-4.84,0.999573675,0.001834091
-4.83,0.999554677,0.001899783
-4.82,0.999535002,0.001967452
-4.81,0.999514631,0.002037148
-4.8,0.999493542,0.00210892
-4.79,0.999471714,0.00218282
-4.78,0.999449125,0.002258899
-4.77,0.999425753,0.00233721
-4.76,0.999401575,0.002417806
-4.75,0.999376567,0.002500742
-4.74,0.999350706,0.002586073
-4.73,0.999323968,0.002673855
-4.72,0.999296326,0.002764146
-4.71,0.999267756,0.002857003
-4.7,0.999238232,0.002952486
-4.69,0.999207725,0.003050655
-4.68,0.999176209,0.00315157
-4.67,0.999143656,0.003255294
-4.66,0.999110037,0.003361889
-4.65,0.999075323,0.003471419
-4.64,0.999039484,0.003583949
-4.63,0.999002488,0.003699544
-4.62,0.998964306,0.003818271
-4.61,0.998924904,0.003940198
-4.6,0.99888425,0.004065393
-4.59,0.998842311,0.004193925
-4.58,0.998799052,0.004325865
-4.57,0.998754439,0.004461283
-4.56,0.998708437,0.004600253
-4.55,0.998661008,0.004742848
-4.54,0.998612117,0.00488914
-4.53,0.998561725,0.005039206
-4.52,0.998509794,0.005193121
-4.51,0.998456284,0.005350962
-4.5,0.998401156,0.005512806
-4.49,0.998344369,0.005678732
-4.48,0.99828588,0.00584882
-4.47,0.998225649,0.00602315
-4.46,0.998163631,0.006201802
-4.45,0.998099782,0.006384859
-4.44,0.998034058,0.006572404
-4.43,0.997966413,0.00676452
-4.42,0.9978968,0.006961292
-4.41,0.997825172,0.007162804
-4.4,0.997751481,0.007369144
-4.39,0.997675677,0.007580398
-4.38,0.99759771,0.007796652
-4.37,0.99751753,0.008017997
-4.36,0.997435085,0.00824452
-4.35,0.997350322,0.008476311
-4.34,0.997263188,0.008713461
-4.33,0.997173627,0.008956061
-4.32,0.997081585,0.009204202
